# STATION: MTMET
# STATION NAME: U of U Mountain Met Lab
# LATITUDE: 40.766573
# LONGITUDE: -111.828211
# ELEVATION [ft]: 4996
# STATE: UT
Station_ID,Date_Time,ozone_concentration_set_1
,,ppb
MTMET,2017-09-02T02:22:00Z,
MTMET,2017-09-02T02:23:00Z,
MTMET,2017-09-02T02:24:00Z,
MTMET,2017-09-02T02:25:00Z,59.04
MTMET,2017-09-02T02:26:00Z,
MTMET,2017-09-02T02:27:00Z,
MTMET,2017-09-02T02:28:00Z,
MTMET,2017-09-02T02:29:00Z,
MTMET,2017-09-02T02:30:00Z,59.11
MTMET,2017-09-02T02:31:00Z,
MTMET,2017-09-02T02:32:00Z,
MTMET,2017-09-02T02:33:00Z,
MTMET,2017-09-02T02:34:00Z,
MTMET,2017-09-02T02:35:00Z,59.82
MTMET,2017-09-02T02:36:00Z,
MTMET,2017-09-02T02:37:00Z,
MTMET,2017-09-02T02:38:00Z,
MTMET,2017-09-02T02:39:00Z,
MTMET,2017-09-02T02:40:00Z,60.66
MTMET,2017-09-02T02:41:00Z,
MTMET,2017-09-02T02:42:00Z,
MTMET,2017-09-02T02:43:00Z,
MTMET,2017-09-02T02:44:00Z,
MTMET,2017-09-02T02:45:00Z,60.04
MTMET,2017-09-02T02:46:00Z,
MTMET,2017-09-02T02:47:00Z,
MTMET,2017-09-02T02:48:00Z,
MTMET,2017-09-02T02:49:00Z,
MTMET,2017-09-02T02:50:00Z,60.18
MTMET,2017-09-02T02:51:00Z,
MTMET,2017-09-02T02:52:00Z,
MTMET,2017-09-02T02:53:00Z,
MTMET,2017-09-02T02:54:00Z,
MTMET,2017-09-02T02:55:00Z,60.45
MTMET,2017-09-02T02:56:00Z,
MTMET,2017-09-02T02:57:00Z,
MTMET,2017-09-02T02:58:00Z,
MTMET,2017-09-02T02:59:00Z,
MTMET,2017-09-02T03:00:00Z,59.61
MTMET,2017-09-02T03:01:00Z,
MTMET,2017-09-02T03:02:00Z,
MTMET,2017-09-02T03:03:00Z,
MTMET,2017-09-02T03:04:00Z,
MTMET,2017-09-02T03:05:00Z,60.11
MTMET,2017-09-02T03:06:00Z,
MTMET,2017-09-02T03:07:00Z,
MTMET,2017-09-02T03:08:00Z,
MTMET,2017-09-02T03:09:00Z,
MTMET,2017-09-02T03:10:00Z,59.76
MTMET,2017-09-02T03:11:00Z,
MTMET,2017-09-02T03:12:00Z,
MTMET,2017-09-02T03:13:00Z,
MTMET,2017-09-02T03:14:00Z,
MTMET,2017-09-02T03:15:00Z,60.06
MTMET,2017-09-02T03:16:00Z,
MTMET,2017-09-02T03:17:00Z,
MTMET,2017-09-02T03:18:00Z,
MTMET,2017-09-02T03:19:00Z,
MTMET,2017-09-02T03:20:00Z,60.22
MTMET,2017-09-02T03:21:00Z,
MTMET,2017-09-02T03:22:00Z,
MTMET,2017-09-02T03:23:00Z,
MTMET,2017-09-02T03:24:00Z,
MTMET,2017-09-02T03:25:00Z,59.58
MTMET,2017-09-02T03:26:00Z,
MTMET,2017-09-02T03:27:00Z,
MTMET,2017-09-02T03:28:00Z,
MTMET,2017-09-02T03:29:00Z,
MTMET,2017-09-02T03:30:00Z,59.94
MTMET,2017-09-02T03:31:00Z,
MTMET,2017-09-02T03:32:00Z,
MTMET,2017-09-02T03:33:00Z,
MTMET,2017-09-02T03:34:00Z,
MTMET,2017-09-02T03:35:00Z,59.91
MTMET,2017-09-02T03:36:00Z,
MTMET,2017-09-02T03:37:00Z,
MTMET,2017-09-02T03:38:00Z,
MTMET,2017-09-02T03:39:00Z,
MTMET,2017-09-02T03:40:00Z,59.23
MTMET,2017-09-02T03:41:00Z,
MTMET,2017-09-02T03:42:00Z,
MTMET,2017-09-02T03:43:00Z,
MTMET,2017-09-02T03:44:00Z,
MTMET,2017-09-02T03:45:00Z,59.87
MTMET,2017-09-02T03:46:00Z,
MTMET,2017-09-02T03:47:00Z,
MTMET,2017-09-02T03:48:00Z,
MTMET,2017-09-02T03:49:00Z,
MTMET,2017-09-02T03:50:00Z,59.9
MTMET,2017-09-02T03:51:00Z,
MTMET,2017-09-02T03:52:00Z,
MTMET,2017-09-02T03:53:00Z,
MTMET,2017-09-02T03:54:00Z,
MTMET,2017-09-02T03:55:00Z,60.01
MTMET,2017-09-02T03:56:00Z,
MTMET,2017-09-02T03:57:00Z,
MTMET,2017-09-02T03:58:00Z,
MTMET,2017-09-02T03:59:00Z,
MTMET,2017-09-02T04:00:00Z,60.02
MTMET,2017-09-02T04:01:00Z,
MTMET,2017-09-02T04:02:00Z,
